check,source,file,object_id,metric,value
collinear_face,Source A,TheHague3D_batch_01a_Landmark_Attributed_2021-06-29.json,TheHague3D_batch_01a_Landmark_Attributed_2021-06-29.json:bag_0518100000225802,n_vertices,1269
collinear_face,Source A,TheHague3D_batch_01a_part01_attributed_2021-06-29.json,TheHague3D_batch_01a_part01_attributed_2021-06-29.json:bag_0518100000344028,n_vertices,246
collinear_face,Source A,TheHague3D_batch_01a_part01_attributed_2021-06-29.json,TheHague3D_batch_01a_part01_attributed_2021-06-29.json:bag_0518100000339442,n_vertices,205
collinear_face,Source A,TheHague3D_batch_01a_part01_attributed_2021-06-29.json,TheHague3D_batch_01a_part01_attributed_2021-06-29.json:bag_0518100000271256,n_vertices,49
collinear_face,Source A,TheHague3D_batch_01a_part02_attributed_2021-06-29.json,TheHague3D_batch_01a_part02_attributed_2021-06-29.json:bag_0518100000272165,n_vertices,171
collinear_face,Source A,TheHague3D_batch_01a_part02_attributed_2021-06-29.json,TheHague3D_batch_01a_part02_attributed_2021-06-29.json:bag_0518100000287656,n_vertices,68
collinear_face,Source A,TheHague3D_batch_01a_part03_attributed_2021-06-29.json,TheHague3D_batch_01a_part03_attributed_2021-06-29.json:bag_0518100000302884,n_vertices,62
collinear_face,Source A,TheHague3D_batch_02_wijk29_attributed_2021_08_19.json,TheHague3D_batch_02_wijk29_attributed_2021_08_19.json:bag_0518100000203166,n_vertices,58
collinear_face,Source A,TheHague3D_batch_02_wijk29_attributed_2021_08_19.json,TheHague3D_batch_02_wijk29_attributed_2021_08_19.json:bag_0518100000223016,n_vertices,104
collinear_face,Source A,TheHague3D_batch_02_wijk29_attributed_2021_08_19.json,TheHague3D_batch_02_wijk29_attributed_2021_08_19.json:bag_0518100001640172,n_vertices,136
collinear_face,Source A,TheHague3D_batch_02_wijk36_attributed_2021_08_19.json,TheHague3D_batch_02_wijk36_attributed_2021_08_19.json:bag_0518100001629625,n_vertices,98
collinear_face,Source A,TheHague3D_batch_02_wijk36_attributed_2021_08_19.json,TheHague3D_batch_02_wijk36_attributed_2021_08_19.json:bag_0518100000279022,n_vertices,34
collinear_face,Source A,TheHague3D_batch_02_wijk36_attributed_2021_08_19.json,TheHague3D_batch_02_wijk36_attributed_2021_08_19.json:bag_0518100000287734,n_vertices,63
collinear_face,Source A,TheHague3D_batch_05_Wijk 11 Duinoord_2022-06-21.json,TheHague3D_batch_05_Wijk 11 Duinoord_2022-06-21.json:bag_0518100000353889,n_vertices,79
collinear_face,Source A,TheHague3D_batch_05_Wijk 22 Zeeheldenkwartier_2022-06-22.json,TheHague3D_batch_05_Wijk 22 Zeeheldenkwartier_2022-06-22.json:bag_0518100000211455,n_vertices,100
collinear_face,Source A,TheHague3D_batch_06_Wijk 19 Vruchtenbuurt_2022-07-06.json,TheHague3D_batch_06_Wijk 19 Vruchtenbuurt_2022-07-06.json:bag_0518100000279316,n_vertices,74
collinear_face,Source A,TheHague3D_batch_06_Wijk 20 Valkenboskwartier_2022-06-21.json,TheHague3D_batch_06_Wijk 20 Valkenboskwartier_2022-06-21.json:bag_0518100000345063,n_vertices,72
collinear_face,Source A,TheHague3D_Batch_08_Forepark_2022-08-08.json,TheHague3D_Batch_08_Forepark_2022-08-08.json:bag_0518100000273015,n_vertices,1369
collinear_face,Source B,10-232-568.city.json,10-232-568.city.json:NL.IMBAG.Pand.1783100000004137-0,n_vertices,75
collinear_face,Source B,10-232-568.city.json,10-232-568.city.json:NL.IMBAG.Pand.1783100000004151-0,n_vertices,349
collinear_face,Source B,10-232-568.city.json,10-232-568.city.json:NL.IMBAG.Pand.1783100000032041-0,n_vertices,52
collinear_face,Source B,10-232-568.city.json,10-232-568.city.json:NL.IMBAG.Pand.1783100000032085-0,n_vertices,122
collinear_face,Source B,10-232-570.city.json,10-232-570.city.json:NL.IMBAG.Pand.1783100000034904-0,n_vertices,31
collinear_face,Source B,10-234-568.city.json,10-234-568.city.json:NL.IMBAG.Pand.1783100000706723-0,n_vertices,69
collinear_face,Source B,10-250-580.city.json,10-250-580.city.json:NL.IMBAG.Pand.0518100000246659-0,n_vertices,33
collinear_face,Source B,10-250-580.city.json,10-250-580.city.json:NL.IMBAG.Pand.0518100000340301-0,n_vertices,195
collinear_face,Source B,10-250-580.city.json,10-250-580.city.json:NL.IMBAG.Pand.0518100001759291-0,n_vertices,18
collinear_face,Source B,10-250-582.city.json,10-250-582.city.json:NL.IMBAG.Pand.0518100000205804-0,n_vertices,348
collinear_face,Source B,10-250-582.city.json,10-250-582.city.json:NL.IMBAG.Pand.0518100000210350-0,n_vertices,446
collinear_face,Source B,10-250-582.city.json,10-250-582.city.json:NL.IMBAG.Pand.0518100000241031-0,n_vertices,141
collinear_face,Source B,10-250-582.city.json,10-250-582.city.json:NL.IMBAG.Pand.0518100000318516-0,n_vertices,143
collinear_face,Source B,10-256-588.city.json,10-256-588.city.json:NL.IMBAG.Pand.0518100000297722-0,n_vertices,79
collinear_face,Source B,10-256-588.city.json,10-256-588.city.json:NL.IMBAG.Pand.0518100000325639-0,n_vertices,147
collinear_face,Source B,10-256-588.city.json,10-256-588.city.json:NL.IMBAG.Pand.0518100000346280-0,n_vertices,35
collinear_face,Source B,10-256-590.city.json,10-256-590.city.json:NL.IMBAG.Pand.0518100000206702-0,n_vertices,31
collinear_face,Source B,10-256-590.city.json,10-256-590.city.json:NL.IMBAG.Pand.0518100000212009-0,n_vertices,212
